lumDist	z
2263.32	0.413949
1783.82	0.338357
1963.86	0.367214
1998.97	0.372772
1894.87	0.356228
382.864	0.084516
2605.11	0.465603
3288.07	0.564407
4091.88	0.674778
3642.47	0.61376
1282.26	0.254348
2932.65	0.513654
3133.54	0.542506
1538.23	0.297944
2527.26	0.453982
3767.37	0.630884
2713.56	0.48166
1906.95	0.358158
2577.55	0.461498
2044.74	0.379986
1388.53	0.272645
773.478	0.16211
3222.1	0.555087
2865.44	0.503901
3904.79	0.649574
2821.47	0.497491
1144.01	0.230087
3601.31	0.608088
5408.97	0.845555
1007.67	0.20561
842.302	0.175099
1023.24	0.208435
2796.94	0.493905
3281.01	0.563412
2250.87	0.412035
6025.98	0.922277
1407.35	0.275856
1352.65	0.2665
492.376	0.107007
132.252	0.030375
554.354	0.119464
5051.12	0.800184
1161.67	0.233217
2349.49	0.42713
1866.23	0.351642
4113.27	0.677643
1821.84	0.344502
2357.46	0.428344
3462.06	0.588783
3007.96	0.524522
4042.21	0.668113
1686.58	0.322508
1966.78	0.367677
3280.38	0.563324
4589.46	0.740572
2605.84	0.465712
2371.67	0.430505
1995.52	0.372228
2843.32	0.500679
1697.26	0.324258
3482.91	0.591685
3053.35	0.531042
3391.22	0.578894
4109.54	0.677144
2439.1	0.440721
2302.7	0.419986
3138.87	0.543266
307.817	0.068719
6010.86	0.920418
3549.87	0.600977
811.224	0.169256
2471.89	0.445667
3814.37	0.637294
3937.56	0.654009
3831.23	0.639589
335.01	0.074481
2152.04	0.396755
2845.26	0.500962
1783.93	0.338375
2248.42	0.411657
1620.04	0.31155
2292.4	0.41841
1748.07	0.332552
2840.14	0.500215
4434.61	0.720279
4041.16	0.667972
3239.89	0.557605
4816.36	0.770031
2859.69	0.503064
4336.26	0.707307
2186.38	0.402081
3161.21	0.546446
2478.75	0.446699
1836.88	0.346926
4163.99	0.684422
1786.34	0.338766
991.066	0.202588
1978.75	0.369575
2118.05	0.391464
2741.44	0.485764
2020.72	0.376204
3521.47	0.597041
1687.95	0.322732
3246.8	0.558582
3931.87	0.653239
946.574	0.194447
1720.16	0.328003
4619.29	0.744464
